
==================================================
Loading embedding model: sentence-transformers/use-cmlm-multilingual...

Embedding Similarity Benchmark Results (Model: sentence-transformers/use-cmlm-multilingual):

| ZhiWen File   | Equivalent File   |   Cosine Similarity |
| sim_0897.zw   | sim_0897.json     |              0.7789 |
| sim_0834.zw   | sim_0834.json     |              0.8049 |
| sim_0701.zw   | sim_0701.json     |              0.8293 |
| sim_0426.zw   | sim_0426.json     |              0.8521 |
| sim_0886.zw   | sim_0886.json     |              0.8517 |
| sim_0199.zw   | sim_0199.json     |              0.755  |
| sim_0768.zw   | sim_0768.json     |              0.7604 |
| sim_0215.zw   | sim_0215.json     |              0.8457 |
| sim_0993.zw   | sim_0993.json     |              0.7872 |
| sim_0605.zw   | sim_0605.json     |              0.7765 |
| sim_0063.zw   | sim_0063.json     |              0.8545 |
| sim_0785.zw   | sim_0785.json     |              0.8633 |
| sim_0686.zw   | sim_0686.json     |              0.8354 |
| sim_0459.zw   | sim_0459.json     |              0.7672 |
| sim_0409.zw   | sim_0409.json     |              0.8469 |
| sim_0668.zw   | sim_0668.json     |              0.794  |
| sim_0959.zw   | sim_0959.json     |              0.8004 |
| sim_0630.zw   | sim_0630.json     |              0.8583 |
| sim_0031.zw   | sim_0031.json     |              0.8415 |
| sim_0121.zw   | sim_0121.json     |              0.8782 |
| sim_0234.zw   | sim_0234.json     |              0.7716 |
| sim_0133.zw   | sim_0133.json     |              0.8376 |
| sim_0982.zw   | sim_0982.json     |              0.8237 |
| sim_0465.zw   | sim_0465.json     |              0.7764 |
| sim_0572.zw   | sim_0572.json     |              0.7311 |
| sim_0193.zw   | sim_0193.json     |              0.7453 |
| sim_0112.zw   | sim_0112.json     |              0.7666 |
| sim_0362.zw   | sim_0362.json     |              0.7681 |
| sim_0368.zw   | sim_0368.json     |              0.8217 |
| sim_0248.zw   | sim_0248.json     |              0.7715 |
| sim_0775.zw   | sim_0775.json     |              0.8275 |
| sim_0784.zw   | sim_0784.json     |              0.7416 |
| sim_0146.zw   | sim_0146.json     |              0.8427 |
| sim_0008.zw   | sim_0008.json     |              0.7908 |
| sim_0340.zw   | sim_0340.json     |              0.8112 |
| sim_0178.zw   | sim_0178.json     |              0.8115 |
| sim_0329.zw   | sim_0329.json     |              0.8404 |
| sim_0862.zw   | sim_0862.json     |              0.844  |
| sim_0190.zw   | sim_0190.json     |              0.8436 |
| sim_0662.zw   | sim_0662.json     |              0.8383 |
| sim_0675.zw   | sim_0675.json     |              0.8512 |
| sim_0278.zw   | sim_0278.json     |              0.7984 |
| sim_0556.zw   | sim_0556.json     |              0.85   |
| sim_0073.zw   | sim_0073.json     |              0.8401 |
| sim_0309.zw   | sim_0309.json     |              0.7464 |
| sim_0534.zw   | sim_0534.json     |              0.8546 |
| sim_0281.zw   | sim_0281.json     |              0.808  |
| sim_0466.zw   | sim_0466.json     |              0.8238 |
| sim_0187.zw   | sim_0187.json     |              0.8528 |
| sim_0564.zw   | sim_0564.json     |              0.8297 |
| sim_0060.zw   | sim_0060.json     |              0.8092 |
| sim_0712.zw   | sim_0712.json     |              0.7433 |
| sim_0506.zw   | sim_0506.json     |              0.8288 |
| sim_0513.zw   | sim_0513.json     |              0.8541 |
| sim_0546.zw   | sim_0546.json     |              0.8384 |
| sim_0299.zw   | sim_0299.json     |              0.8215 |
| sim_0280.zw   | sim_0280.json     |              0.8172 |
| sim_0700.zw   | sim_0700.json     |              0.7606 |
| sim_0742.zw   | sim_0742.json     |              0.8126 |
| sim_0119.zw   | sim_0119.json     |              0.8767 |
| sim_0610.zw   | sim_0610.json     |              0.752  |
| sim_0272.zw   | sim_0272.json     |              0.837  |
| sim_0446.zw   | sim_0446.json     |              0.7985 |
| sim_0778.zw   | sim_0778.json     |              0.7566 |
| sim_0292.zw   | sim_0292.json     |              0.7729 |
| sim_0666.zw   | sim_0666.json     |              0.7673 |
| sim_0276.zw   | sim_0276.json     |              0.8202 |
| sim_0176.zw   | sim_0176.json     |              0.768  |
| sim_0672.zw   | sim_0672.json     |              0.8521 |
| sim_0386.zw   | sim_0386.json     |              0.7909 |
| sim_0444.zw   | sim_0444.json     |              0.7947 |
| sim_0639.zw   | sim_0639.json     |              0.8138 |
| sim_0295.zw   | sim_0295.json     |              0.8375 |
| sim_0807.zw   | sim_0807.json     |              0.7983 |
| sim_0985.zw   | sim_0985.json     |              0.778  |
| sim_0642.zw   | sim_0642.json     |              0.7566 |
| sim_0967.zw   | sim_0967.json     |              0.8641 |
| sim_0002.zw   | sim_0002.json     |              0.7394 |
| sim_0752.zw   | sim_0752.json     |              0.8096 |
| sim_0290.zw   | sim_0290.json     |              0.8205 |
| sim_0804.zw   | sim_0804.json     |              0.7911 |
| sim_0844.zw   | sim_0844.json     |              0.8387 |
| sim_0587.zw   | sim_0587.json     |              0.8471 |
